Date : 2023-12-20 13:31:33
Directory : /home/xiangui/ysyx-workbench/npc
Total : 215 files,  -7647 codes, -2059 comments, -1588 blanks, all -11294 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| ../nemu/tools/kconfig                                                                                |         20 |     -8,210 |     -1,112 |     -1,216 |    -10,538 |
| ../nemu/tools/kconfig (Files)                                                                        |         13 |     -6,328 |       -832 |       -905 |     -8,065 |
| ../nemu/tools/kconfig/lxdialog                                                                       |          7 |     -1,882 |       -280 |       -311 |     -2,473 |
| ../nemu/tools/kvm-diff                                                                               |          3 |       -333 |        -58 |        -59 |       -450 |
| ../nemu/tools/kvm-diff (Files)                                                                       |          1 |         -6 |        -14 |         -4 |        -24 |
| ../nemu/tools/kvm-diff/include                                                                       |          1 |          0 |        -15 |         -2 |        -17 |
| ../nemu/tools/kvm-diff/src                                                                           |          1 |       -327 |        -29 |        -53 |       -409 |
| ../nemu/tools/qemu-diff                                                                              |          8 |       -471 |       -156 |       -132 |       -759 |
| ../nemu/tools/qemu-diff (Files)                                                                      |          1 |         -6 |        -14 |         -4 |        -24 |
| ../nemu/tools/qemu-diff/include                                                                      |          3 |        -64 |        -46 |        -21 |       -131 |
| ../nemu/tools/qemu-diff/src                                                                          |          4 |       -401 |        -96 |       -107 |       -604 |
| ../nemu/tools/spike-diff                                                                             |          2 |       -130 |        -28 |        -29 |       -187 |
| csrc                                                                                                 |          5 |        267 |         12 |         46 |        325 |
| obj_dir                                                                                              |         75 |      4,744 |        964 |        776 |      6,484 |
| vsrc                                                                                                 |          7 |        284 |          9 |         36 |        329 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                             | language | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/xiangui/ysyx-workbench/nemu/Makefile                                                           | Makefile |        -30 |        -22 |        -10 |        -62 |
| /home/xiangui/ysyx-workbench/nemu/README.md                                                          | Markdown |        -33 |          0 |         -3 |        -36 |
| /home/xiangui/ysyx-workbench/nemu/include/common.h                                                   | C        |        -26 |        -14 |        -10 |        -50 |
| /home/xiangui/ysyx-workbench/nemu/include/cpu/cpu.h                                                  | C++      |         -9 |        -14 |         -7 |        -30 |
| /home/xiangui/ysyx-workbench/nemu/include/cpu/decode.h                                               | C++      |        -75 |        -16 |        -12 |       -103 |
| /home/xiangui/ysyx-workbench/nemu/include/cpu/difftest.h                                             | C++      |        -33 |        -14 |         -7 |        -54 |
| /home/xiangui/ysyx-workbench/nemu/include/cpu/ifetch.h                                               | C++      |         -8 |        -14 |         -5 |        -27 |
| /home/xiangui/ysyx-workbench/nemu/include/debug.h                                                    | C++      |        -22 |        -14 |         -8 |        -44 |
| /home/xiangui/ysyx-workbench/nemu/include/device/alarm.h                                             | C        |         -6 |        -14 |         -5 |        -25 |
| /home/xiangui/ysyx-workbench/nemu/include/device/map.h                                               | C++      |        -32 |        -15 |        -10 |        -57 |
| /home/xiangui/ysyx-workbench/nemu/include/device/mmio.h                                              | C++      |         -6 |        -14 |         -5 |        -25 |
| /home/xiangui/ysyx-workbench/nemu/include/difftest-def.h                                             | C++      |        -21 |        -14 |         -6 |        -41 |
| /home/xiangui/ysyx-workbench/nemu/include/isa.h                                                      | C        |        -25 |        -23 |        -11 |        -59 |
| /home/xiangui/ysyx-workbench/nemu/include/macro.h                                                    | C++      |        -53 |        -40 |        -18 |       -111 |
| /home/xiangui/ysyx-workbench/nemu/include/memory/host.h                                              | C++      |        -22 |        -14 |         -7 |        -43 |
| /home/xiangui/ysyx-workbench/nemu/include/memory/paddr.h                                             | C++      |        -14 |        -16 |         -8 |        -38 |
| /home/xiangui/ysyx-workbench/nemu/include/memory/vaddr.h                                             | C++      |        -10 |        -14 |         -6 |        -30 |
| /home/xiangui/ysyx-workbench/nemu/include/utils.h                                                    | C++      |        -45 |        -17 |        -16 |        -78 |
| /home/xiangui/ysyx-workbench/nemu/resource/debian/README.md                                          | Markdown |       -141 |          0 |        -32 |       -173 |
| /home/xiangui/ysyx-workbench/nemu/resource/mips-elf/README.md                                        | Markdown |         -1 |          0 |         -1 |         -2 |
| /home/xiangui/ysyx-workbench/nemu/resource/sdcard/README.md                                          | Markdown |        -46 |          0 |        -13 |        -59 |
| /home/xiangui/ysyx-workbench/nemu/resource/sdcard/nemu.c                                             | C        |       -394 |        -40 |       -109 |       -543 |
| /home/xiangui/ysyx-workbench/nemu/scripts/build.mk                                                   | Makefile |        -40 |         -5 |        -14 |        -59 |
| /home/xiangui/ysyx-workbench/nemu/scripts/config.mk                                                  | Makefile |        -40 |        -15 |        -16 |        -71 |
| /home/xiangui/ysyx-workbench/nemu/scripts/native.mk                                                  | Makefile |        -23 |        -16 |        -13 |        -52 |
| /home/xiangui/ysyx-workbench/nemu/src/cpu/cpu-exec.c                                                 | C        |       -121 |        -29 |        -21 |       -171 |
| /home/xiangui/ysyx-workbench/nemu/src/cpu/difftest/dut.c                                             | C        |        -81 |        -30 |        -25 |       -136 |
| /home/xiangui/ysyx-workbench/nemu/src/cpu/difftest/ref.c                                             | C        |        -21 |        -15 |         -7 |        -43 |
| /home/xiangui/ysyx-workbench/nemu/src/device/alarm.c                                                 | C        |        -30 |        -14 |         -8 |        -52 |
| /home/xiangui/ysyx-workbench/nemu/src/device/audio.c                                                 | C        |        -27 |        -14 |         -7 |        -48 |
| /home/xiangui/ysyx-workbench/nemu/src/device/device.c                                                | C        |        -65 |        -15 |        -12 |        -92 |
| /home/xiangui/ysyx-workbench/nemu/src/device/disk.c                                                  | C        |         -3 |        -14 |         -3 |        -20 |
| /home/xiangui/ysyx-workbench/nemu/src/device/filelist.mk                                             | Makefile |        -15 |        -14 |         -4 |        -33 |
| /home/xiangui/ysyx-workbench/nemu/src/device/intr.c                                                  | C        |         -3 |        -14 |         -3 |        -20 |
| /home/xiangui/ysyx-workbench/nemu/src/device/io/map.c                                                | C        |        -46 |        -15 |        -10 |        -71 |
| /home/xiangui/ysyx-workbench/nemu/src/device/io/mmio.c                                               | C        |        -37 |        -16 |        -11 |        -64 |
| /home/xiangui/ysyx-workbench/nemu/src/device/io/port-io.c                                            | C        |        -26 |        -16 |         -8 |        -50 |
| /home/xiangui/ysyx-workbench/nemu/src/device/keyboard.c                                              | C        |        -69 |        -15 |        -17 |       -101 |
| /home/xiangui/ysyx-workbench/nemu/src/device/mmc.h                                                   | C++      |       -275 |       -117 |        -48 |       -440 |
| /home/xiangui/ysyx-workbench/nemu/src/device/sdcard.c                                                | C        |       -102 |        -20 |        -13 |       -135 |
| /home/xiangui/ysyx-workbench/nemu/src/device/serial.c                                                | C        |        -25 |        -17 |        -10 |        -52 |
| /home/xiangui/ysyx-workbench/nemu/src/device/timer.c                                                 | C        |        -29 |        -14 |         -6 |        -49 |
| /home/xiangui/ysyx-workbench/nemu/src/device/vga.c                                                   | C        |        -62 |        -16 |        -15 |        -93 |
| /home/xiangui/ysyx-workbench/nemu/src/engine/filelist.mk                                             | Makefile |         -2 |        -14 |         -2 |        -18 |
| /home/xiangui/ysyx-workbench/nemu/src/engine/interpreter/hostcall.c                                  | C        |        -31 |        -14 |         -7 |        -52 |
| /home/xiangui/ysyx-workbench/nemu/src/engine/interpreter/init.c                                      | C        |         -9 |        -15 |         -4 |        -28 |
| /home/xiangui/ysyx-workbench/nemu/src/filelist.mk                                                    | Makefile |        -11 |        -14 |         -4 |        -29 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/filelist.mk                                                | Makefile |         -2 |        -14 |         -2 |        -18 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/difftest/dut.c                                | C        |         -8 |        -20 |         -6 |        -34 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/include/isa-def.h                             | C++      |        -14 |        -15 |         -7 |        -36 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/init.c                                        | C        |        -17 |        -20 |         -7 |        -44 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/inst.c                                        | C        |        -46 |        -14 |        -13 |        -73 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/local-include/reg.h                           | C++      |        -13 |        -14 |         -7 |        -34 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/logo.c                                        | C        |         -1 |        -14 |         -2 |        -17 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/reg.c                                         | C        |        -13 |        -14 |         -5 |        -32 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/system/intr.c                                 | C        |         -7 |        -17 |         -5 |        -29 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/loongarch32r/system/mmu.c                                  | C        |         -6 |        -14 |         -3 |        -23 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/mips32/difftest/dut.c                                      | C        |         -8 |        -14 |         -4 |        -26 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/mips32/include/isa-def.h                                   | C++      |        -15 |        -15 |         -7 |        -37 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/mips32/init.c                                              | C        |        -16 |        -20 |         -7 |        -43 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/mips32/inst.c                                              | C        |        -48 |        -14 |        -13 |        -75 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/mips32/local-include/reg.h                                 | C++      |        -13 |        -14 |         -7 |        -34 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/mips32/logo.c                                              | C        |        -49 |        -26 |         -4 |        -79 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/mips32/reg.c                                               | C        |        -13 |        -14 |         -5 |        -32 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/mips32/system/intr.c                                       | C        |         -7 |        -17 |         -5 |        -29 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/mips32/system/mmu.c                                        | C        |         -6 |        -14 |         -3 |        -23 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/difftest/dut.c                                     | C        |        -22 |        -14 |         -5 |        -41 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/include/isa-def.h                                  | C++      |        -14 |        -15 |         -7 |        -36 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/init.c                                             | C        |        -17 |        -20 |         -7 |        -44 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/inst.c                                             | C        |       -149 |        -14 |        -12 |       -175 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/local-include/reg.h                                | C++      |        -13 |        -14 |         -7 |        -34 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/logo.c                                             | C        |        -36 |        -24 |         -4 |        -64 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/reg.c                                              | C        |        -22 |        -14 |         -4 |        -40 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/system/intr.c                                      | C        |         -7 |        -17 |         -5 |        -29 |
| /home/xiangui/ysyx-workbench/nemu/src/isa/riscv32/system/mmu.c                                       | C        |         -6 |        -14 |         -3 |        -23 |
| /home/xiangui/ysyx-workbench/nemu/src/memory/paddr.c                                                 | C        |        -56 |        -16 |        -14 |        -86 |
| /home/xiangui/ysyx-workbench/nemu/src/memory/vaddr.c                                                 | C        |        -11 |        -14 |         -5 |        -30 |
| /home/xiangui/ysyx-workbench/nemu/src/monitor/monitor.c                                              | C        |       -188 |        -27 |        -33 |       -248 |
| /home/xiangui/ysyx-workbench/nemu/src/monitor/sdb/expr.c                                             | C        |       -265 |        -32 |        -27 |       -324 |
| /home/xiangui/ysyx-workbench/nemu/src/monitor/sdb/sdb.c                                              | C        |       -159 |        -24 |        -42 |       -225 |
| /home/xiangui/ysyx-workbench/nemu/src/monitor/sdb/sdb.h                                              | C        |        -20 |        -15 |        -10 |        -45 |
| /home/xiangui/ysyx-workbench/nemu/src/monitor/sdb/watchpoint.c                                       | C        |       -104 |        -17 |        -15 |       -136 |
| /home/xiangui/ysyx-workbench/nemu/src/nemu-main.c                                                    | C        |        -15 |        -16 |         -4 |        -35 |
| /home/xiangui/ysyx-workbench/nemu/src/utils/disasm.cc                                                | C++      |        -82 |        -14 |        -14 |       -110 |
| /home/xiangui/ysyx-workbench/nemu/src/utils/filelist.mk                                              | Makefile |         -5 |        -14 |         -2 |        -21 |
| /home/xiangui/ysyx-workbench/nemu/src/utils/log.c                                                    | C        |        -16 |        -14 |         -5 |        -35 |
| /home/xiangui/ysyx-workbench/nemu/src/utils/state.c                                                  | C        |         -7 |        -14 |         -4 |        -25 |
| /home/xiangui/ysyx-workbench/nemu/src/utils/timer.c                                                  | C        |        -29 |        -14 |         -7 |        -50 |
| /home/xiangui/ysyx-workbench/nemu/tools/difftest.mk                                                  | Makefile |        -11 |        -14 |         -4 |        -29 |
| /home/xiangui/ysyx-workbench/nemu/tools/fixdep/Makefile                                              | Makefile |         -3 |          0 |         -1 |         -4 |
| /home/xiangui/ysyx-workbench/nemu/tools/fixdep/fixdep.c                                              | C        |       -222 |       -138 |        -45 |       -405 |
| /home/xiangui/ysyx-workbench/nemu/tools/gen-expr/Makefile                                            | Makefile |         -3 |        -14 |         -2 |        -19 |
| /home/xiangui/ysyx-workbench/nemu/tools/gen-expr/gen-expr.c                                          | C        |       -108 |        -16 |        -23 |       -147 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/Makefile                                             | Makefile |        -32 |          0 |         -9 |        -41 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/conf.c                                               | C        |       -637 |        -35 |        -56 |       -728 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/confdata.c                                           | C        |     -1,051 |       -116 |       -172 |     -1,339 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/expr.c                                               | C        |     -1,072 |       -138 |        -94 |     -1,304 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/expr.h                                               | C++      |       -185 |        -91 |        -57 |       -333 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/list.h                                               | C++      |        -55 |        -61 |        -17 |       -133 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/lkc.h                                                | C++      |       -130 |        -14 |        -30 |       -174 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/lkc_proto.h                                          | C++      |        -40 |         -5 |         -7 |        -52 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/checklist.c                                 | C        |       -237 |        -37 |        -46 |       -320 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/dialog.h                                    | C++      |       -176 |        -38 |        -25 |       -239 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/inputbox.c                                  | C        |       -245 |        -16 |        -29 |       -290 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/menubox.c                                   | C        |       -302 |        -68 |        -55 |       -425 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/textbox.c                                   | C        |       -310 |        -44 |        -42 |       -396 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/util.c                                      | C        |       -542 |        -63 |        -96 |       -701 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/lxdialog/yesno.c                                     | C        |        -70 |        -14 |        -18 |       -102 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/mconf.c                                              | C        |       -953 |        -16 |        -72 |     -1,041 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/menu.c                                               | C        |       -621 |       -175 |       -104 |       -900 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/preprocess.c                                         | C        |       -383 |        -87 |       -105 |       -575 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/symbol.c                                             | C        |     -1,067 |        -83 |       -165 |     -1,315 |
| /home/xiangui/ysyx-workbench/nemu/tools/kconfig/util.c                                               | C        |       -102 |        -11 |        -17 |       -130 |
| /home/xiangui/ysyx-workbench/nemu/tools/kvm-diff/Makefile                                            | Makefile |         -6 |        -14 |         -4 |        -24 |
| /home/xiangui/ysyx-workbench/nemu/tools/kvm-diff/include/paddr.h                                     | C++      |          0 |        -15 |         -2 |        -17 |
| /home/xiangui/ysyx-workbench/nemu/tools/kvm-diff/src/kvm.c                                           | C        |       -327 |        -29 |        -53 |       -409 |
| /home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/Makefile                                           | Makefile |         -6 |        -14 |         -4 |        -24 |
| /home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/include/common.h                                   | C        |        -13 |        -14 |         -6 |        -33 |
| /home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/include/isa.h                                      | C        |        -41 |        -14 |         -5 |        -60 |
| /home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/include/protocol.h                                 | C++      |        -10 |        -18 |        -10 |        -38 |
| /home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/src/diff-test.c                                    | C        |        -67 |        -17 |        -16 |       -100 |
| /home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/src/gdb-host.c                                     | C        |        -83 |        -15 |        -21 |       -119 |
| /home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/src/isa.c                                          | C        |        -43 |        -21 |        -15 |        -79 |
| /home/xiangui/ysyx-workbench/nemu/tools/qemu-diff/src/protocol.c                                     | C        |       -208 |        -43 |        -55 |       -306 |
| /home/xiangui/ysyx-workbench/nemu/tools/spike-diff/Makefile                                          | Makefile |        -30 |        -14 |        -11 |        -55 |
| /home/xiangui/ysyx-workbench/nemu/tools/spike-diff/difftest.cc                                       | C++      |       -100 |        -14 |        -18 |       -132 |
| /home/xiangui/ysyx-workbench/npc/Makefile                                                            | Makefile |         17 |          0 |          6 |         23 |
| /home/xiangui/ysyx-workbench/npc/csrc/ImmGen.cpp                                                     | C++      |         62 |          7 |         10 |         79 |
| /home/xiangui/ysyx-workbench/npc/csrc/RegisterFile.cpp                                               | C++      |         75 |          0 |         10 |         85 |
| /home/xiangui/ysyx-workbench/npc/csrc/main.cpp                                                       | C++      |          5 |          0 |          2 |          7 |
| /home/xiangui/ysyx-workbench/npc/csrc/npc.cpp                                                        | C++      |         75 |          5 |         13 |         93 |
| /home/xiangui/ysyx-workbench/npc/csrc/pc.cpp                                                         | C++      |         50 |          0 |         11 |         61 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen.cpp                                   | C++      |        104 |         23 |         21 |        148 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen.h                                     | C++      |         32 |         32 |         13 |         77 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen.mk                                    | Makefile |         25 |         29 |         15 |         69 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__ALL.cpp                              | C++      |          7 |          1 |          1 |          9 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__Syms.cpp                             | C++      |         15 |          8 |          4 |         27 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__Syms.h                               | C++      |         17 |         12 |         11 |         40 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__Trace.cpp                            | C++      |         67 |          5 |          6 |         78 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen__Trace__Slow.cpp                      | C++      |        100 |          7 |         10 |        117 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen___024root.cpp                         | C++      |         88 |         10 |          9 |        107 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen___024root.h                           | C++      |         22 |         11 |         16 |         49 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen___024root__Slow.cpp                   | C++      |         42 |          7 |         13 |         62 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_ImmGen_classes.mk                            | Makefile |         22 |         22 |         10 |         54 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile.cpp                             | C++      |        108 |         23 |         21 |        152 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile.h                               | C++      |         36 |         32 |         13 |         81 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile.mk                              | Makefile |         25 |         29 |         15 |         69 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__ALL.cpp                        | C++      |          7 |          1 |          1 |          9 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__Syms.cpp                       | C++      |         15 |          8 |          4 |         27 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__Syms.h                         | C++      |         17 |         12 |         11 |         40 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__Trace.cpp                      | C++      |         57 |          5 |          6 |         68 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile__Trace__Slow.cpp                | C++      |         98 |          7 |         10 |        115 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile___024root.cpp                   | C++      |        109 |         13 |         10 |        132 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile___024root.h                     | C++      |         30 |         12 |         17 |         59 |
| /home/xiangui/ysyx-workbench/npc/obj_dir/Vysyx_23060096_RegisterFile___024root__Slow.cpp             | C++      |         54 |          8 |         13 |         75 |
